"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"reliance share","100K+","28 October 2024 at 09:00:00 UTC+5:30",,"reliance share,reliance share price,reliance bonus shares,reliance industries share price,reliance industries share,dr reddy share,ril share price,reliance industries,reliance share split,ril share,reliance bonus share,why reliance share is falling,reliance stock split,reliance share news,reliance share price today,reliance split,reliance stock,when will reliance bonus shares be credited,reliance bonus record date,reliance share bonus,reliance news,ril share price today,reliance split date,why reliance share is falling today","https://trends.google.com/trends/explore?q=reliance%20share&geo=IN&hl=en-GB"
"wbbl","20K+","26 October 2024 at 23:40:00 UTC+5:30",,"wbbl","https://trends.google.com/trends/explore?q=wbbl&geo=IN&hl=en-GB"
"efl cup","50K+","29 October 2024 at 02:10:00 UTC+5:30",,"efl cup,chelsea vs newcastle,chelsea,cole palmer,nicolas jackson,chelsea fc,chelsea f.c.,studio.youtube.com","https://trends.google.com/trends/explore?q=efl%20cup&geo=IN&hl=en-GB"
"bhai dooj","50K+","27 October 2024 at 18:30:00 UTC+5:30",,"bhai dooj,bhai dooj 2024","https://trends.google.com/trends/explore?q=bhai%20dooj&geo=IN&hl=en-GB"
"new zealand women vs india women","2M+","29 October 2024 at 13:40:00 UTC+5:30","30 October 2024 at 07:00:00 UTC+5:30","new zealand women vs india women,india women vs new zealand women,smriti mandhana,new zealand national cricket team vs india national cricket team match scorecard,harmanpreet kaur,ind vs nz women,ind w vs nz w,indw vs nzw,nz-w vs ind-w,india vs new zealand women,ind vs nz w,ind w vs nz w odi,brooke halliday,tejal hasabnis,ind vs nz women odi,india women's national cricket team vs new zealand women's national cricket team match scorecard,saima thakor,new zealand women's national cricket team vs india women's national cricket team match scorecard,jess kerr,sophie devine,indw vs nzw odi,lea tahuhu,ind w,ind-w vs nz-w,women cricket live,india w vs nz w,india women's national cricket team,suzie bates,india vs new zealand w,lauren down,indw,live,amelia kerr,india women's national cricket team vs new zealand women's national cricket team players,in w vs nz w,ind vs nz odi,ind vs nzw,mithali raj,ind-w vs nz-w today match,india vs new zealand women odi 2024,radha yadav,ind vs nz women odi series,ind vs nz woman,ind w vs nz w odi scorecard,nz w vs ind w,india w vs nz w odi","https://trends.google.com/trends/explore?q=new%20zealand%20women%20vs%20india%20women&geo=IN&hl=en-GB"
"shaheer sheikh","20K+","25 October 2024 at 00:30:00 UTC+5:30",,"shaheer sheikh","https://trends.google.com/trends/explore?q=shaheer%20sheikh&geo=IN&hl=en-GB"
"halloween 2024","50K+","25 October 2024 at 00:20:00 UTC+5:30",,"halloween 2024","https://trends.google.com/trends/explore?q=halloween%202024&geo=IN&hl=en-GB"
"singham again release date","100K+","26 October 2024 at 13:50:00 UTC+5:30",,"singham again release date,bhool bhulaiyaa 3,bookmyshow,bhool bhulaiyaa 3 vs singham again,bollywood,singham again,bhulaiyaa 3,singham again vs bhool bhulaiyaa 3,singham 3","https://trends.google.com/trends/explore?q=singham%20again%20release%20date&geo=IN&hl=en-GB"
"gold coin","20K+","28 October 2024 at 21:40:00 UTC+5:30",,"gold coin,blinkit","https://trends.google.com/trends/explore?q=gold%20coin&geo=IN&hl=en-GB"
"sushin shyam","2K+","30 October 2024 at 12:10:00 UTC+5:30",,"sushin shyam","https://trends.google.com/trends/explore?q=sushin%20shyam&geo=IN&hl=en-GB"
"sardar vallabhbhai patel","20K+","28 October 2024 at 11:20:00 UTC+5:30",,"sardar vallabhbhai patel,run for unity,national unity day 2024,lg","https://trends.google.com/trends/explore?q=sardar%20vallabhbhai%20patel&geo=IN&hl=en-GB"
"crackers online","20K+","26 October 2024 at 07:30:00 UTC+5:30",,"crackers online,fire crackers","https://trends.google.com/trends/explore?q=crackers%20online&geo=IN&hl=en-GB"
"ey gurgaon diwali celebrations","10K+","30 October 2024 at 14:00:00 UTC+5:30",,"ey gurgaon diwali celebrations,ey gurugram diwali celebration,ey gurgaon diwali celebration","https://trends.google.com/trends/explore?q=ey%20gurgaon%20diwali%20celebrations&geo=IN&hl=en-GB"
"swift dzire","10K+","29 October 2024 at 16:30:00 UTC+5:30",,"swift dzire,swift dzire 2024,new swift dzire 2024,dzire 2024,new swift dzire,swift,maruti suzuki,cars,car","https://trends.google.com/trends/explore?q=swift%20dzire&geo=IN&hl=en-GB"
"rcb","20K+","28 October 2024 at 18:00:00 UTC+5:30",,"rcb,ipl,ipl 2025,rcb captain 2025,rcb retention list 2025,royal challengers","https://trends.google.com/trends/explore?q=rcb&geo=IN&hl=en-GB"
